Loan ID,ISBN,Library ID,Number of Copies
IHL.KA663_MM,989-28-79-21991-8,L-IHL,7
IHL.ZT703_H,989-28-79-22562-9,L-IHL,8
IHL.TI225_MM,989-28-79-22871-2,L-IHL,2
IHL.CH391_H,989-28-79-23015-9,L-IHL,1
IHL.PP866_MM,989-28-79-23023-4,L-IHL,18
IHL.TT773_MM,989-28-79-26824-4,L-IHL,11
IHL.NL209_G,989-28-79-27078-0,L-IHL,5
IHL.NB483_MM,989-28-79-30536-9,L-IHL,6
IHL.DY800_MM,989-28-79-32105-5,L-IHL,4
IHL.ST862_T,989-28-79-36485-4,L-IHL,6
IHL.PP866_H,989-28-79-40897-8,L-IHL,13
IHL.IA439_H,989-28-79-42728-3,L-IHL,5
IHL.TM925_G,989-28-79-43574-5,L-IHL,32
IHL.QQ737_H,989-28-79-43841-8,L-IHL,3
IHL.DR914_MM,989-28-79-44730-4,L-IHL,5
IHL.SS361_T,989-28-79-45675-7,L-IHL,7
IHL.PA169_H,989-28-79-52883-6,L-IHL,7
IHL.TC401_MM,989-28-79-55752-2,L-IHL,3
IHL.CP573_MM,989-28-79-55824-6,L-IHL,2
IHL.IA439_T,989-28-79-61125-5,L-IHL,1
IHL.AY135_T,989-28-79-64693-6,L-IHL,4
IHL.SS361_H,989-28-79-67891-3,L-IHL,8
IHL.BB194_H,989-28-79-68089-3,L-IHL,16
IHL.ST303_H,989-28-79-68531-7,L-IHL,1
IHL.CP573_H,989-28-79-69359-6,L-IHL,2
IHL.NR695_MM,989-28-79-69807-2,L-IHL,7
IHL.TT359_H,989-28-79-70597-8,L-IHL,3
IHL.TM925_H,989-28-79-71565-6,L-IHL,27
IHL.RR774_H,989-28-79-74374-1,L-IHL,35
IHL.TH296_H,989-28-79-82125-8,L-IHL,8
IHL.TC188_T,989-28-79-82197-5,L-IHL,7
IHL.TC401_H,989-28-79-82339-9,L-IHL,2
IHL.NR695_H,989-28-79-82749-6,L-IHL,3
IHL.TH556_G,989-28-79-87459-9,L-IHL,12
IHL.CC830_MM,989-28-79-96705-5,L-IHL,3
IUB.TO369_MM,989-28-229-0197-6,L-IUB,2
IUB.TS869_MM,989-28-229-1404-4,L-IUB,8
IUB.SE355_MM,989-28-229-3157-7,L-IUB,6
IUB.LB510_MM,989-28-229-5891-8,L-IUB,2
IUB.WG715_MM,989-28-229-6632-6,L-IUB,3
IUB.MW621_MM,989-28-229-7592-2,L-IUB,2
IUB.BS284_MM,989-28-229-9769-6,L-IUB,2
IUB.HP265_BB,989-28-3705-007-2,L-IUB,5
IUB.HP265_P,989-28-3705-054-6,L-IUB,6
IUB.BF374_BB,989-28-3705-138-3,L-IUB,3
IUB.MM424_T,989-28-3705-205-2,L-IUB,1
IUB.AK974_T,989-28-3705-222-9,L-IUB,7
IUB.CH391_T,989-28-3705-492-6,L-IUB,2
IUB.BC244_BB,989-28-3705-583-1,L-IUB,1
IUB.BF889_BB,989-28-3705-592-3,L-IUB,3
IUB.IG460_T,989-28-3705-607-4,L-IUB,1
IUB.IG460_H,989-28-3705-633-3,L-IUB,2
IUB.BR858_BB,989-28-3705-649-4,L-IUB,1
IUB.AD222_T,989-28-3705-987-7,L-IUB,1
IUB.WO506_T,989-28-654-0127-3,L-IUB,3
IUB.NC652_H,989-28-654-2620-7,L-IUB,3
IUB.WK456_H,989-28-654-3899-6,L-IUB,1
IUB.DE571_T,989-28-654-4370-9,L-IUB,3
IUB.IC739_T,989-28-654-5018-9,L-IUB,1
IUB.SS693_T,989-28-654-6507-7,L-IUB,3
IUB.WO506_H,989-28-654-7965-4,L-IUB,3
IUB.TH143_H,989-28-654-8573-0,L-IUB,2
IUB.PA169_T,989-28-79-01991-4,L-IUB,2
IUB.TA182_H,989-28-79-03683-6,L-IUB,2
IUB.TT359_MM,989-28-79-04510-4,L-IUB,1
IUB.TC188_H,989-28-79-05638-4,L-IUB,2
IUB.ZT703_MM,989-28-79-05670-4,L-IUB,3
IUB.TP887_T,989-28-79-11297-4,L-IUB,2
IUB.TM925_MM,989-28-79-13801-1,L-IUB,17
IUB.TH296_MM,989-28-79-13871-4,L-IUB,4
IUB.AY135_H,989-28-79-18127-7,L-IUB,1
IUB.TI225_MM,989-28-79-22871-2,L-IUB,2
IUB.PP866_MM,989-28-79-23023-4,L-IUB,7
IUB.TT773_MM,989-28-79-26824-4,L-IUB,2
IUB.NB483_MM,989-28-79-30536-9,L-IUB,3
IUB.DY800_MM,989-28-79-32105-5,L-IUB,3
IUB.ST862_T,989-28-79-36485-4,L-IUB,1
IUB.PP866_H,989-28-79-40897-8,L-IUB,2
IUB.QQ737_H,989-28-79-43841-8,L-IUB,3
IUB.DR914_MM,989-28-79-44730-4,L-IUB,3
IUB.SS361_T,989-28-79-45675-7,L-IUB,2
IUB.TT773_H,989-28-79-51397-9,L-IUB,3
IUB.PA169_H,989-28-79-52883-6,L-IUB,3
IUB.TC401_MM,989-28-79-55752-2,L-IUB,3
IUB.CP573_MM,989-28-79-55824-6,L-IUB,1
IUB.AY135_T,989-28-79-64693-6,L-IUB,2
IUB.BB194_H,989-28-79-68089-3,L-IUB,1
IUB.ST303_H,989-28-79-68531-7,L-IUB,1
IUB.NR695_MM,989-28-79-69807-2,L-IUB,1
IUB.TT359_H,989-28-79-70597-8,L-IUB,3
IUB.TM925_H,989-28-79-71565-6,L-IUB,2
IUB.RR774_H,989-28-79-74374-1,L-IUB,9
IUB.TH296_H,989-28-79-82125-8,L-IUB,2
IUB.TC188_T,989-28-79-82197-5,L-IUB,1
IUB.TP887_H,989-28-79-86624-2,L-IUB,2
IUB.TM925_T,989-28-79-91028-0,L-IUB,2
OFL.TO369_MM,989-28-229-0197-6,L-OFL,2
OFL.TS869_MM,989-28-229-1404-4,L-OFL,2
OFL.SE355_MM,989-28-229-3157-7,L-OFL,2
OFL.LB510_MM,989-28-229-5891-8,L-OFL,2
OFL.WG715_MM,989-28-229-6632-6,L-OFL,2
OFL.MW621_MM,989-28-229-7592-2,L-OFL,2
OFL.BS284_MM,989-28-229-9769-6,L-OFL,2
OFL.BR858_P,989-28-3705-136-9,L-OFL,2
OFL.BF889_P,989-28-3705-152-9,L-OFL,2
OFL.AK974_T,989-28-3705-222-9,L-OFL,2
OFL.BF374_P,989-28-3705-369-1,L-OFL,2
OFL.BC244_P,989-28-3705-775-0,L-OFL,2
OFL.HP265_P,989-28-3705-966-2,L-OFL,2
OFL.AD222_T,989-28-3705-987-7,L-OFL,2
OFL.SS693_T,989-28-654-6507-7,L-OFL,2
OFL.PA169_T,989-28-79-01991-4,L-OFL,2
OFL.ZT703_MM,989-28-79-05670-4,L-OFL,2
OFL.TP887_T,989-28-79-11297-4,L-OFL,2
OFL.TM925_MM,989-28-79-13801-1,L-OFL,2
OFL.TH296_MM,989-28-79-13871-4,L-OFL,2
OFL.KA663_MM,989-28-79-21991-8,L-OFL,2
OFL.PP866_MM,989-28-79-23023-4,L-OFL,2
OFL.TT773_MM,989-28-79-26824-4,L-OFL,2
OFL.NL209_G,989-28-79-27078-0,L-OFL,2
OFL.NB483_MM,989-28-79-30536-9,L-OFL,2
OFL.DY800_MM,989-28-79-32105-5,L-OFL,2
OFL.ST862_T,989-28-79-36485-4,L-OFL,2
OFL.SS361_T,989-28-79-45675-7,L-OFL,2
OFL.NR695_MM,989-28-79-69807-2,L-OFL,2
OFL.TC188_T,989-28-79-82197-5,L-OFL,2
OFL.TM925_T,989-28-79-91028-0,L-OFL,2
PS.MM424_T,989-28-3705-205-2,L-PS,3
PS.WK456_H,989-28-654-3899-6,L-PS,2
PS.IC739_T,989-28-654-5018-9,L-PS,3
PS.WO506_H,989-28-654-7965-4,L-PS,1
PS.TA182_H,989-28-79-03683-6,L-PS,1
PS.TT359_MM,989-28-79-04510-4,L-PS,1
PS.KA663_H,989-28-79-07610-8,L-PS,1
PS.TH296_MM,989-28-79-13871-4,L-PS,2
PS.QQ737_T,989-28-79-14379-4,L-PS,1
PS.AM124_G,989-28-79-16826-1,L-PS,5
PS.ZT703_H,989-28-79-22562-9,L-PS,3
PS.TI225_MM,989-28-79-22871-2,L-PS,4
PS.NB483_MM,989-28-79-30536-9,L-PS,4
PS.SS361_T,989-28-79-45675-7,L-PS,1
PS.PA169_H,989-28-79-52883-6,L-PS,1
PS.IA439_T,989-28-79-61125-5,L-PS,1
PS.AY135_T,989-28-79-64693-6,L-PS,1
PS.NR695_MM,989-28-79-69807-2,L-PS,1
PS.TC188_T,989-28-79-82197-5,L-PS,3
PS.TP887_H,989-28-79-86624-2,L-PS,1
PS.TH556_G,989-28-79-87459-9,L-PS,1
