ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-79-42728-3,IA439,Hardcover,ESP,05-11-2021,493,20,27.99
989-28-654-7965-4,WO506,Hardcover,PP,17-12-2021,288,3,29.99
989-28-79-87459-9,TH556,Graphic,ESP,21-12-2021,88,3,23.99
989-28-229-6632-6,WG715,Mass market paperback,SSC,14-02-2021,423,16,9.5
989-28-79-32105-5,DY800,Mass market paperback,ESP,25-02-2021,390,29,8.99
989-28-79-71565-6,TM925,Hardcover,ESP,25-02-2021,819,25,21.5
989-28-79-43841-8,QQ737,Hardcover,ESP,01-04-2021,373,3,18.5
989-28-79-61125-5,IA439,Trade paperback,ESP,27-05-2021,470,40,12.5
989-28-654-0127-3,WO506,Trade paperback,PP,09-12-2021,295,7,16.99
989-28-654-9826-6,DE571,Hardcover,PP,16-12-2021,480,4,28.99
989-28-654-8573-0,TH143,Hardcover,PP,13-01-2021,598,9,23.99
989-28-79-82125-8,TH296,Hardcover,ESP,10-02-2021,293,10,22.99
989-28-79-14379-4,QQ737,Trade paperback,ESP,28-02-2021,373,42,11.99
989-28-654-6033-1,TH143,Trade paperback,PP,04-01-2021,598,12,15.99
989-28-229-0197-6,TO369,Mass market paperback,SSC,08-02-2021,255,20,9.5
989-28-654-4370-9,DE571,Trade paperback,PP,29-03-2021,480,5,15.99
989-28-79-13801-1,TM925,Mass market paperback,ESP,19-07-2021,672,71,8.99
989-28-3705-633-3,IG460,Hardcover,CHP,09-08-2021,222,3,19.99
989-28-3705-987-7,AD222,Trade paperback,CHP,22-09-2021,188,10,8.99
989-28-79-13871-4,TH296,Mass market paperback,ESP,27-09-2021,357,25,8.99
989-28-79-05638-4,TC188,Hardcover,ESP,15-11-2021,485,12,27.99
989-28-79-91028-0,TM925,Trade paperback,ESP,14-04-2021,784,50,12.5
989-28-3705-966-2,HP265,Paperback,CHP,02-05-2021,31,25,10.99
989-28-3705-607-4,IG460,Trade paperback,CHP,25-07-2021,218,10,11.99
989-28-229-5891-8,LB510,Mass market paperback,SSC,25-07-2021,380,25,9.5
989-28-3705-592-3,BF889,Board book,CHP,10-10-2021,12,8,6.99
989-28-79-82197-5,TC188,Trade paperback,ESP,05-12-2021,469,20,12.5
989-28-79-22562-9,ZT703,Hardcover,ESP,12-12-2021,356,18,20.99
989-28-79-40897-8,PP866,Hardcover,ESP,20-02-2021,656,32,21.5
989-28-79-23015-9,CH391,Hardcover,ESP,06-03-2021,404,2,18.5
989-28-3705-152-9,BF889,Paperback,CHP,03-04-2021,20,10,7.99
989-28-3705-583-1,BC244,Board book,CHP,08-05-2021,13,10,6.99
989-28-79-07610-8,KA663,Hardcover,ESP,15-05-2021,432,25,27.99
989-28-3705-649-4,BR858,Board book,CHP,10-07-2021,11,10,6.99
989-28-79-51397-9,TT773,Hardcover,ESP,28-08-2021,292,40,21.5
989-28-3705-775-0,BC244,Paperback,CHP,06-11-2021,22,15,7.99
989-28-79-05670-4,ZT703,Mass market paperback,ESP,20-11-2021,338,26,8.99
989-28-3705-136-9,BR858,Paperback,CHP,08-01-2021,15,17,7.99
989-28-79-56856-6,CC830,Hardcover,ESP,19-02-2021,434,25,21.5
989-28-79-26824-4,TT773,Mass market paperback,ESP,08-04-2021,280,40,8.99
989-28-229-3157-7,SE355,Mass market paperback,SSC,15-04-2021,336,35,9.5
989-28-3705-492-6,CH391,Trade paperback,CHP,24-04-2021,404,7,11.99
989-28-3705-138-3,BF374,Board book,CHP,27-05-2021,12,18,6.99
989-28-3705-007-2,HP265,Board book,CHP,03-06-2021,16,55,5.99
989-28-3705-369-1,BF374,Paperback,CHP,14-10-2021,20,18,7.99
989-28-79-23023-4,PP866,Mass market paperback,ESP,21-10-2021,792,78,8.99
989-28-79-21991-8,KA663,Mass market paperback,ESP,25-11-2021,341,45,8.99
989-28-79-68531-7,ST303,Hardcover,ESP,06-01-2021,437,7,21.5
989-28-79-96705-5,CC830,Mass market paperback,ESP,17-03-2021,381,50,8.99
989-28-79-16826-1,AM124,Graphic,ESP,24-03-2021,85,3,23.99
989-28-654-2017-5,IC739,Hardcover,PP,09-06-2021,337,16,29.99
989-28-79-16533-8,ST862,Hardcover,ESP,16-02-2021,531,9,21.5
989-28-79-69359-6,CP573,Hardcover,ESP,02-03-2021,706,6,21.5
989-28-79-16808-7,ST303,Trade paperback,ESP,18-05-2021,458,11,12.5
989-28-654-5018-9,IC739,Trade paperback,PP,15-07-2021,385,20,16.99
989-28-79-36485-4,ST862,Trade paperback,ESP,14-09-2021,520,15,12.5
989-28-79-27078-0,NL209,Graphic,ESP,05-10-2021,192,4,23.99
989-28-79-55824-6,CP573,Mass market paperback,ESP,21-12-2021,651,15,8.99
989-28-79-82339-9,TC401,Hardcover,ESP,22-02-2021,421,10,21.5
989-28-654-9484-8,SS693,Hardcover,PP,01-03-2021,400,8,23.99
989-28-654-3988-7,LS176,Hardcover,PP,15-03-2021,368,2,48
989-28-79-86624-2,TP887,Hardcover,ESP,14-05-2021,1296,30,35.84
989-28-79-64693-6,AY135,Trade paperback,ESP,25-08-2021,645,36,12.5
989-28-229-9769-6,BS284,Mass market paperback,SSC,20-09-2021,368,37,9.5
989-28-3705-763-7,MM424,Hardcover,CHP,15-11-2021,324,3,22.99
989-28-79-74374-1,RR774,Hardcover,ESP,03-01-2021,1218,40,21.5
989-28-79-55752-2,TC401,Mass market paperback,ESP,03-04-2021,398,18,8.99
989-28-654-6507-7,SS693,Trade paperback,PP,15-05-2021,387,8,15.99
989-28-79-03683-6,TA182,Hardcover,ESP,03-07-2021,340,35,18.5
989-28-654-3899-6,WK456,Hardcover,PP,14-08-2021,207,2,29.99
989-28-79-11297-4,TP887,Trade paperback,ESP,25-08-2021,1296,30,13.46
989-28-3705-205-2,MM424,Trade paperback,CHP,18-09-2021,324,8,11.99
