BookID,BookID1,BookID2,Genre,SeriesID,Volume Number,Staff Comment
HS107,HS,107,Nonfiction,,0,"#QuokkaSelfie took the internet by storm in the early 21s. These adorable marsupials, quickly dubbed ""the happiest animal on Earth"" became an internet sensation when tourists started posting selfies with the smiling mammals. Rottnest Island, once an Australian Aboriginal penal colony, transformed into an eco-tourism destination thanks to these picture-perfect smiling creatures. But even beaming quokkas can't escape the darker side of intense human attention. Reports began circulating of quokkas being kicked liked footballs. Instagram labeled #QuokkaSelfie as potentially violating animal welfare. Conservationists decried ""lumpy jaw"", a potentially fatal infection caused by bread fed to these herbivores from human hands. In this—ultimately hopeful—exploration of #QuokkaSelfie, Langston Lippman and colleagues take a deeper look at the phenomenon of celebrating nature to the brink of destroying it. "
HP265,HP,265,Childrens,,0,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical. "
IC739,IC,739,Memoir,,0,"Lowry's comedic genius shines through every moment of her memoir. Told with clear eyes and biting wit, the anecdotes of each chapter bring to life a world of eccentric academics. The literarily-inclinded daughter of a physicist  and an epidemiologist, Lowry was forced to find her own way toward normal through an upbringing that was anything but. "
IA439,IA,439,Fiction,,0,
IG460,IG,460,Young Adult,,0,
KA663,KA,663,Fiction,,0,
LB510,LB,510,Romance,EL-SSC,5,Book Five of Esme's Ladies
LS176,LS,176,Nonfiction,,0,
MW621,MW,621,Romance,EL-SSC,2,Book Two of Esme's Ladies
NP937,NP,937,Nonfiction,,0,
NL209,NL,209,Fiction,,0,"Beloved author Charles Fenimore strikes out in a new direction with his first graphic novel. In this devestating tale of daring, ingenuity, and just a dash of  luck, Fenimore dmonstrates his genius for combining visual flare and cutting prose. Uchon's mechanical contraption to tame lightning brings its own threats to her tinder-box community stricken by wildfires. Will Uchon's luck run out on the eve of the biggest lightning storm to threaten the sleepy town of Delanro in decades? "
NB483,NB,483,Fiction,MT-ESP,2,"""I never thought I'd enjoy a trashy, light chick-lit series. But here I am, and Green is rapidly becoming my favorite author!"""
NC652,NC,652,Nonfiction,,0,"When his wife set out to write her magnum opus cookbook, food critic Stackhouse thought the hardest part would be making sure he didn't outgrow his favorite slacks. He never expected that amidst the thyme and roux and cleavers, their relationship would be tried, tested, and ultimately perfected. Tastefully seasoned with the recipes that brought them to the brink, ""Nothing But Capers"" follows the tumult that strained then saved his marriage and his life. "
PP866,PP,866,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next. 
PA169,PA,169,Fiction,,0,
QQ737,QQ,737,Young Adult,,0,Debut novel from Jill Hergesheimer
RR774,RR,774,SciFi/Fantasy,MM-ESP,3,"The triumphant, tragic, unimaginable third installment in the Mallemaroking saga"
SE355,SE,355,Romance,EL-SSC,6,Book Six of Esme's Ladies
SS693,SS,693,Nonfiction,,0,"Long-winded talkers waste time for themselves and those who listen. When you have something to say, get to the point. Say it with Snap! "
ST862,ST,862,SciFi/Fantasy,,0,
ST303,ST,303,SciFi/Fantasy,,0,
SS361,SS,361,Fiction,,0,
TC401,TC,401,SciFi/Fantasy,,0,
TC188,TC,188,Fiction,,0,
TH143,TH,143,Nonfiction,,0,
TP887,TP,887,Fiction,,0,
TM925,TM,925,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced. "
TO369,TO,369,Romance,EL-SSC,4,Book Four of Esme's Ladies
TS869,TS,869,Romance,EL-SSC,1,Book One of Esme's Ladies
TA182,TA,182,Young Adult,,0,
TH556,TH,556,Fiction,,0,"Mr. Hidoo, with his kind smile and perpetual silence, is easy to overlook. Until he turns up dead. "
TI225,TI,225,Fiction,MT-ESP,1,"""The thing is, 'The Thing Is' is exactly what you need. Don't believe me? Give it a try."""
TT773,TT,773,SciFi/Fantasy,,0,
TH296,TH,296,Mystery,IR-ESP,2,
TT359,TT,359,Fiction,AT-ESP,1,
WO506,WO,506,Memoir,,0,"""Only a sister knows the difference between a strangle and a hug"""
WG715,WG,715,Romance,EL-SSC,3,Book Three of Esme's Ladies
WK456,WK,456,Memoir,,0,"Antrim's ability to make you laugh through your tears has never been stronger than in his memoirs. Diagnosed with terminal cancer at 38, Antrim reflects back on his life with the grace and wisdom of a man twice his age. ""Who Did You Think You Were Kidding"" reminds us that even on a sad path toward a death far too soon, the journey is what matters. "
ZT703,ZT,703,Mystery,,0,
DG384,DG,384,Fiction,,0,The most anticipated release of the coming year!
